Tipo	Biomasa_nire_m3/ha	Biomasa_total_m3/ha	Bio_nire_std	Bio_total_std	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	ENL_C3	NrPix	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std	NDVI	NDVI_std	VV	VV_gamma	VH	VH_gamma	LIA	NrPix	VV_std	VV_gamma_std	VH_std	VH_gamma_std
nirantal alto-0	157.42	163.12	116.9296	116.7817	0.1306947	0.00051633472	0.0028152592	0.03551304	-0.0028710151	0.084500693	-0.00048448544	0.0014192649	0.10813069	21.038651	14.764133	1173	0.0466465689241886	0.0140010779723525	0.0152525873854756	0.0220815800130367	0.0141666606068611	0.0376989953219891	0.00976726785302162	0.0131113696843386	0.0268521048128605	2.55594801902771	0.700693247330797	0.0613659193647854	0.120333552360535	0.15586793422699	0.027785412967205	0.0359902866184711	33.5620574951172	734	0.016588106751442	0.0214887019246817	0.00362538266927004	0.00469544902443886
nirantal alto-00	194	221	0	0	0.12307034	0.0088600377	0.0043217111	0.036164723	-0.0032766161	0.07451304	0.0011428924	-0.00064392929	0.10567169	23.864372	19.191084	452	0.038032665848732	0.0128966551274061	0.0089935939759016	0.0216663982719183	0.0139608047902584	0.0245999563485384	0.00945286825299263	0.00775429606437683	0.0250782500952482	2.96661710739136	0.69755508117525	0.0556410846255964	0.117058351635933	0.151615932583809	0.0273623913526535	0.0354402996599674	34.5925979614258	283	0.0131380744278431	0.0170158110558987	0.0026816378813237	0.00347364554181695
nirantal interm-1	91.5	103.75	23.1589	30.7612	0.13057347	0.00012183464	0.0054282183	0.041364267	-0.0025420447	0.06762667	-0.0069179898	-0.0063722474	0.11789844	20.947418	28.689054	433	0.0284466873854399	0.00870222039520741	0.00771418074145913	0.0206419210880995	0.0091488491743803	0.0188101083040237	0.0097541231662035	0.0082529466599226	0.0266693588346243	1.63872718811035	0.681880287491545	0.0495462454762397	0.111397989094257	0.144246742129326	0.0293454267084599	0.037998728454113	32.3024444580078	271	0.0122439013794065	0.0158528629690409	0.00339695019647479	0.00439794082194567
nirantal interme-2	86	89.5	0	0.7071	0.13969032	-0.0015849808	-0.0034902191	0.047784679	-0.0054151192	0.081410974	0.0018563032	0.00060349132	0.1084855	21.268702	14.791836	679	0.0512172020971775	0.0103657534345984	0.0118688177317381	0.0297261588275433	0.0113860052078962	0.0301371794193983	0.00770637067034841	0.0100229466333985	0.0313084609806538	2.54549288749695	0.67496030948722	0.0701638255643036	0.122338145971298	0.158438980579376	0.0269392840564251	0.0348888225853443	32.2577323913574	422	0.0118820620700717	0.0153878750279546	0.00402766233310103	0.00521615566685796
nirantal bajo-3	27	27	9.5394	9.5394	0.1133737	0.0038583821	0.0053821844	0.040179595	-0.0069794953	0.067264035	-0.0031412814	-0.0051318263	0.10279106	25.734434	11.757209	281	0.0416134186089039	0.0125196669250727	0.00922469981014729	0.0307886842638254	0.0157465133816004	0.0188173465430737	0.0065341261215508	0.00982016324996948	0.0402177833020687	2.75909185409546	0.693504433961784	0.044986512699415	0.116209007799625	0.150646507740021	0.030994538217783	0.0401793904602528	36.24755859375	175	0.0205915626138449	0.0266972593963146	0.00563836237415671	0.00730998069047928
nirantal bajo-4	27	27	9.5394	9.5394	0.10717367	0.0051003443	0.004690039	0.041400626	-0.00028863439	0.061357543	-0.0012110455	-0.0039077806	0.096964464	25.651249	25.101576	208	0.0243434831500053	0.0106961214914918	0.00636883266270161	0.0209711045026779	0.00935561303049326	0.0157265923917294	0.00883319322019815	0.00572924176231027	0.0198865588754416	3.58605480194092	0.684190708398819	0.0459915698500469	0.109106987714767	0.141436725854874	0.0258285123854876	0.033481739461422	37.0371475219727	128	0.020758792757988	0.0269135143607855	0.00300180423073471	0.0038919139187783
nirantal bajo-5	38	38	17.4356	17.4356	0.10719611	0.0024831856	0.00083893549	0.035979535	0.0021850856	0.05739966	0.0014052511	-0.0043888316	0.094454028	24.448992	14.68073	1329	0.0359895825386047	0.00933101307600737	0.00945467315614224	0.0215620324015617	0.0103717660531402	0.0207404531538486	0.00834077410399914	0.00982251763343811	0.0319233983755112	2.18157076835632	0.721523625121999	0.0750697385344792	0.106698632240295	0.138335451483727	0.0273766033351421	0.0354939214885235	35.733772277832	828	0.0187564287334681	0.0243162531405687	0.00515913357958198	0.00668849749490619
nirantal alto-6	90.5	90.5	43.1335	43.1335	0.12203731	-0.00085031183	0.00019453291	0.034667548	0.014495475	0.069913149	-0.0086510079	-0.00042363172	0.11078336	14.894631	13.757422	107	0.0503774769604206	0.0135942669585347	0.00756524316966534	0.0190986450761557	0.00944977160543203	0.0266522821038961	0.00673880241811276	0.00849451869726181	0.0429998338222504	6.56609201431274	0.703657230392831	0.0405678203852283	0.116309687495232	0.150584205985069	0.025864701718092	0.0334865041077137	33.8989105224609	69	0.0121087562292814	0.0156792365014553	0.00283294706605375	0.00366765912622213
nirantal alto-7	203.5	404	3.5355	275.7716	0.10756932	0.0044304291	-0.0050199963	0.052728806	-0.01703991	0.089441806	0.014671791	-0.0023903807	0.10880609	30.888136	29.280306	58	0.0236819908022881	0.0074467402882874	0.00555624254047871	0.0179326180368662	0.01044169254601	0.0240916162729263	0.0143475262448192	0.00891535077244043	0.0224577765911818	2.42965173721313	0.71483633007322	0.0346968432417245	0.0865613222122192	0.112245537340641	0.0233738608658314	0.0303093418478966	44.2389144897461	37	0.00597810000181198	0.00775255495682359	0.00174602505285293	0.00226443400606513
nirantal alto-8	228	254	66.468	77.7817	0.11572068	-0.0029838788	-0.0045025772	0.036854103	0.0083600357	0.075435691	-0.0055159759	0.0042999843	0.11486498	23.233751	22.89196	205	0.030405905097723	0.00859506241977215	0.00683821365237236	0.0205467455089092	0.011878315359354	0.0185719579458237	0.00906510557979345	0.0131204789504409	0.0310657899826765	5.02869987487793	0.693045442474299	0.0304202955756018	0.0959133580327034	0.124370560050011	0.0281842201948166	0.0365464761853218	40.3202590942383	128	0.0141576882451773	0.0183609519153833	0.00858427211642265	0.0111319487914443
nirantal alto-9	212	212	18.3848	18.3848	0.1301776	0.0073044798	0.011288136	0.052761793	-0.0022928915	0.088515125	0.0026476067	-0.0093841711	0.13453905	15.223704	10.30167	192	0.0545216649770737	0.00928187090903521	0.011879300698638	0.0345265939831734	0.0111532071605325	0.0415907502174377	0.0185263380408287	0.0104271080344915	0.0590042881667614	6.65738773345947	0.702444110441645	0.0293299011132893	0.151783689856529	0.196879640221596	0.0364833511412144	0.0473228320479393	33.4341125488281	118	0.0773258581757546	0.100304551422596	0.0143103636801243	0.0185630768537521
nirantal alto-10	117	117	33.9411	33.9411	0.10699296	-0.0010535221	0.00063329196	0.032961544	-0.00025153969	0.067949675	-0.0001425567	-0.005191965	0.081496403	22.819092	34.757515	68	0.0201165620237589	0.00782355293631554	0.00813622772693634	0.0147523041814566	0.00964165292680264	0.0137468883767724	0.00827132258564234	0.00563859893009067	0.0158165972679853	1.48363149166107	0.714175902307034	0.0278318467056869	0.102298080921173	0.132414102554321	0.0242805797606707	0.0314285568892956	36.557502746582	42	0.00388957792893052	0.00503537384793162	0.00179226289037615	0.00231955130584538
nirantal alto-11	122.25	151.35	78.1353	119.2889	0.08427576	0.0053882939	0.0023243476	0.012773786	-0.0015183797	0.044534907	0.0041749533	-0.007267755	0.079342596	24.328793	23.344919	72	0.0242077801376581	0.00637440802529454	0.00552256498485804	0.0153954876586795	0.00722886528819799	0.0101632783189416	0.00654819095507264	0.00403104908764362	0.0188080035150051	1.80048799514771	0.695530845224857	0.0327504269132871	0.0927610620856285	0.120060078799725	0.0254221092909575	0.0329034365713596	35.3920021057129	44	0.00917017366737127	0.0118705341592431	0.0021891831420362	0.00283308303914964
bajo-12	10.5	10.5	8.0208	8.0208	0.070068099	-0.0011013219	-0.0016843284	0.02585678	0.0049807574	0.043973401	0.004306376	-0.0019959919	0.070653468	39.602306	22.895128	164	0.0172375068068504	0.0047414074651897	0.00654053734615445	0.0147770354524255	0.00816441886126995	0.0119302654638886	0.00494546350091696	0.00544189009815455	0.0158401653170586	3.12090730667114	0.538107303756007	0.0861301157525553	0.072490468621254	0.0939858481287956	0.0174659006297588	0.0226449873298407	50.2056617736816	102	0.0111501663923264	0.0144543210044503	0.00335266650654376	0.00434630736708641
suelo_desnudo_ref-13	0	0	NaN	NaN	0.061821882	-0.0039303475	0.0043351632	0.028829744	0.0031571279	0.02281834	-0.0013222061	-0.0006664283	0.051598828	19.766907	32.207874	27	0.0167477671056986	0.0047185686416924	0.00283373380079865	0.00740174390375614	0.00251233577728272	0.00608094502240419	0.00286793685518205	0.00316466693766415	0.00785635970532894	3.87335109710693	0.325494107954642	0.107556247659115	0.0853980705142021	0.11076532304287	0.0204411707818508	0.0265131816267967	40.3438911437988	15	0.0120756896212697	0.0156616922467947	0.00052278209477663	0.000677881354931742
suelo_desnudo_ref-14	0	0	NaN	NaN	0.043676488	-0.0054668142	0.0010029917	0.019840032	-0.0016738332	0.028130259	-0.0019361112	-0.0021517323	0.046579104	34.000912	12.523021	40	0.0184067655354738	0.00649314932525158	0.00505895400419831	0.00678811129182577	0.00573002174496651	0.0142648108303547	0.00377310393378139	0.00368532398715615	0.0160184130072594	3.9985818862915	0.247573064073272	0.0678681991474234	0.0473853759467602	0.0614376589655876	0.0121310129761696	0.0157284829765558	57.2528533935547	27	0.00494025740772486	0.00640450092032552	0.0024089275393635	0.00312312692403793
suelo_desnudo_ref-15	0	0	NaN	NaN	0.063689075	0.00096773659	0.0016223429	0.0098272739	-0.007340868	0.040117759	0.0046658688	-0.0002701091	0.051521141	23.546799	30.459166	32	0.0128559749573469	0.00275905267335475	0.00261119217611849	0.0108434893190861	0.00346522824838758	0.0101981358602643	0.0042094886302948	0.00287277973257005	0.0144357634708285	0.615150570869446	0.545709528421101	0.0567450944318403	0.0839914232492447	0.108698286116123	0.0212067272514105	0.0274450331926346	31.5216178894043	20	0.00501500349491835	0.00648933043703437	0.00124209350906312	0.00160777370911092
