,NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha Ã±ire,Vol m3/ha total,AGB,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,C11_corr,C12r_corr,C12i_corr,C13r_corr,C13i_corr,C22_corr,C23r_corr,C23i_corr,C33_corr,C11_corr_dB,C22_corr_dB,C33_corr_dB,C,T
17,CENTRO23,2019/10/19,parcela 23_24,ÃIRE,200,8.2,13.0,67.0,67.0,69.345,TESTIGO,0.1346,0.0313,0.0125,0.0279,-0.0002,0.0598,0.0099,-0.0179,0.0803,22.74,0.0001,0.009,0.0046,0.0079,0.0044,0.0079,0.0075,0.0044,0.0027,0.197,22.74,20.04,27.39,2,0.11179996657709743,0.02599806057847808,0.010382612052107859,0.023173990100304742,-0.00016612179283372576,0.04967041605728399,0.008223028745269425,-0.014867900458618452,0.06669789982274088,-9.515583262830868,-13.03902202182634,-11.75887840892364,"[[ 0.07310143-0.0344501j   0.03335011+0.00789447j  0.04752042+0.02417129j]
 [-0.00268763+0.01881343j  0.02044497+0.01133992j  0.01775095-0.00025001j]
 [ 0.04401883-0.01333904j  0.02346082+0.00672773j  0.00834089+0.01954633j]]","[[ 0.17648316-0.01490377j  0.06476054-0.102339j    0.08034279+0.02067892j]
 [ 0.06476054+0.102339j   -0.01359852-0.01490377j  0.01398557+0.00165001j]
 [ 0.08034279-0.02067892j  0.01398557-0.00165001j  0.04088994+0.02267985j]]"
18,CENTRO25,2019/02/13,parcela 25_26,ÃIRE,200,8.7,40.0,201.0,209.0,216.315,,0.0918,0.0212,-0.0001,0.048,-0.0063,0.0599,0.0359,-0.0127,0.0865,29.28,0.0126,0.0035,0.0012,0.0013,0.0007,0.0029,0.0018,0.0006,0.0045,0.1426,29.28,28.57,27.55,2,0.08062331029255926,0.01861889083008994,-8.782495674570725e-05,0.042155979237939484,-0.005532972274979557,0.052607149090678644,0.0315291594717089,-0.01115376950670482,0.07596858758503677,-10.935393742271541,-12.789552330390851,-11.193659479635825,"[[ 0.00153284-0.00112946j  0.00797335-0.00525902j  0.0071071 +0.00607956j]
 [ 0.00290227-0.00431195j  0.00341157-0.02764248j -0.00593868-0.00412408j]
 [-0.01661256+0.00830628j -0.01336873+0.00638506j  0.00710462-0.01319429j]]","[[ 0.02285165-1.43237537e-02j -0.00557178-9.42950448e-05j
  -0.00763021+1.59246747e-03j]
 [-0.00557178+9.42950448e-05j -0.00557673-1.43237537e-02j
   0.03018226-1.64672190e-02j]
 [-0.00763021-1.59246747e-03j  0.03018226+1.64672190e-02j
   0.00682314-5.52849651e-02j]]"
19,CENTRO26,2019/02/13,parcela 25_26,ÃIRE,200,10.7,33.0,206.0,599.0,619.965,,0.1558,-0.0119,-0.012,0.089,-0.0263,0.0908,0.0218,0.0129,0.1495,29.31,0.0346,0.0056,0.0204,0.0283,0.0295,0.0237,0.0146,0.0188,0.0313,1.1666,29.31,27.96,27.55,4,0.13687148542130462,-0.010454240542448812,-0.010542091303309726,0.0781871771662138,-0.023104750106420484,0.07976849086171026,0.019151465867679338,0.011332748151057956,0.131336887487067,-8.636870194631516,-10.981686242786122,-8.816132801392488,"[[-0.01694716+0.00835195j -0.00572976+0.0278745j  -0.00747322-0.00536122j]
 [-0.02609872+0.01957404j -0.02599114+0.01493647j -0.0162901 -0.00910575j]
 [ 0.01775592-0.00974511j -0.00230854+0.00726761j  0.02599806-0.01038261j]]","[[-0.00589554-0.00203066j -0.04294522+0.02945701j -0.01136786+0.04969845j]
 [-0.04294522-0.02945701j  0.02399733-0.00203066j -0.00483834+0.02914254j]
 [-0.01136786-0.04969845j -0.00483834-0.02914254j -0.05198227+0.02987293j]]"
20,CENTRO28,2019/02/22,parcela 27_28,ÃIRE,200,10.2,45.0,275.0,309.0,319.815,,0.1271,-0.01,0.0003,0.0499,0.0078,0.0592,0.0017,-0.0084,0.1096,26.93,0.0224,0.0042,0.0076,0.0051,0.0083,0.0062,0.0076,0.0029,0.0075,0.5992,26.93,24.65,27.55,3,0.10920655108505414,-0.0085921755377698,0.00025776526613309394,0.0428749559334713,0.006701896919460443,0.05086567918359721,0.0014606698414208659,-0.007217427451726631,0.094170243893957,-9.617513083826385,-12.935751522137268,-10.260863047882962,"[[ 0.01861889+8.78249567e-05j -0.01045424+1.05420913e-02j
  -0.00859218-2.57765266e-04j]
 [-0.00709812+1.36951982e-02j -0.03439943-3.84514946e-02j
  -0.02541138-2.41148770e-02j]
 [ 0.00080984-2.95593195e-02j  0.03668347-4.74727203e-02j
   0.00901874-1.61987113e-02j]]","[[ 0.01045328-0.01611089j  0.00960015+0.01680207j  0.03709373-0.0522278j ]
 [ 0.00960015-0.01680207j  0.04482198-0.01611089j -0.06666278+0.08204533j]
 [ 0.03709373+0.0522278j  -0.06666278-0.08204533j -0.06879886-0.07690299j]]"
21,CENTRO27,2019/02/22,parcela 27_28,ÃIRE,200,8.5,34.0,181.0,199.0,205.965,,0.1397,-0.0085,-0.0164,0.0514,0.0064,0.0649,-0.0099,0.0343,0.134,23.46,0.0132,0.0112,0.0025,0.0122,0.0074,0.015,0.0064,0.0041,0.0158,1.5371,23.46,20.67,27.55,3,0.11665970650214492,-0.007098121011225711,-0.013695198186364903,0.04292275529141195,0.005344467584922888,0.05419624160335866,-0.008267223295427593,0.028643005962946104,0.11189979005932299,-9.330791205226607,-12.660308298364736,-9.51170728272035,"[[ 8.29572665e-03+0.00338965j -5.82314058e-03-0.00582314j
  -7.56534823e-03+0.00592071j]
 [ 7.79982597e-03+0.01390404j  2.48791244e-02-0.01773478j
   9.63902208e-05+0.01156683j]
 [-1.73878845e-03-0.00368214j  1.04877890e-02+0.0023022j
  -1.22759458e-02+0.01665408j]]","[[-0.01911092+0.02004373j  0.02057167-0.02510584j  0.00659681-0.00497937j]
 [ 0.02057167+0.02510584j  0.01115048+0.02004373j -0.02306714-0.01149096j]
 [ 0.00659681+0.00497937j -0.02306714+0.01149096j  0.04975825-0.03546956j]]"
22,CENTRO29,2019/03/21,parcela 29_30,ÃIRE,200,5.6,18.0,66.0,79.0,81.765,,0.1154,-0.0399,0.0446,0.0232,0.0029,0.0886,-0.0112,-0.0007,0.0843,27.31,0.0266,0.0098,0.01,0.0224,0.0078,0.0061,0.0086,0.0102,0.0184,1.1275,27.31,27.3,27.56,3,0.09949108687091604,-0.03439943124912955,0.038451494579227516,0.020001674310270813,0.0025002092887838516,0.07638570447801699,-0.009655980701510048,-0.000603498793844378,0.07267849760154439,-10.022158247433708,-11.169879116760326,-11.38594058938341,"[[ 0.00731129+0.02630385j -0.0048008 +0.00075802j  0.0004195 -0.00973237j]
 [ 0.00601199-0.01083851j  0.01786221-0.00296293j  0.02137262-0.0057218j ]
 [-0.00530801-0.00073496j -0.00735296+0.0010142j   0.01541984-0.00964817j]]","[[ 0.02357013+0.01665568j -0.00810854+0.05541675j -0.01718801+0.0025063j ]
 [-0.00810854-0.05541675j  0.02189213+0.01665568j  0.0036093 -0.00036229j]
 [-0.01718801-0.0025063j   0.0036093 +0.00036229j  0.03572442-0.00592585j]]"
23,CENTRO30,2019/03/21,parcela 29_30,ÃIRE,200,8.0,27.0,117.0,141.0,145.935,,0.1445,-0.0294,0.0279,0.0625,0.0074,0.0887,-0.0042,-0.0205,0.1311,27.59,0.0247,0.0044,0.0056,0.005,0.0091,0.008,0.004,0.0103,0.0137,0.4889,27.59,27.59,27.56,3,0.12489604777567545,-0.025411375810414246,0.024114877044576787,0.05402078190989423,0.006396060578131478,0.07666629368652189,-0.0036301965443448925,-0.01771881646644531,0.11331399213419414,-9.03451304270961,-11.153955315318012,-9.457164596734433,"[[-0.01781322-0.02638373j  0.00507502+0.0041889j  -0.00205538-0.00534399j]
 [-0.01286806-0.00879589j -0.00041387+0.00148992j  0.00716705-0.0030835j ]
 [ 0.01308893-0.00391834j -0.00310511+0.00017251j -0.00876215-0.00564485j]]","[[-0.03068613-0.03202858j -0.00905107-0.0100509j   0.00278587+0.00616796j]
 [-0.00905107+0.0100509j  -0.02246461-0.03202858j  0.01156844+0.00568004j]
 [ 0.00278587-0.00616796j  0.01156844-0.00568004j -0.00082773+0.00297983j]]"
24,CENTRO33,2019/03/25,parcela 33_34,ÃIRE,200,8.9,45.0,225.0,225.0,232.875,,0.11,0.001,0.0365,0.0301,-0.0342,0.0591,-0.0188,-0.0051,0.1171,18.93,0.0224,0.0039,0.0181,0.0103,0.0159,0.0349,0.0017,0.0036,0.0355,1.0139,18.93,18.79,27.57,3,0.08908288053679357,0.0008098443685163052,0.029559319450845136,0.024376315492340782,-0.027696677403257635,0.047861802179313635,-0.015225074128106537,-0.004130206279433157,0.09483277555325932,-10.50205748294844,-13.200109525718135,-10.23041538380706,"[[0.04421031+0.j 0.03257199+0.j 0.05951122+0.j]
 [0.03267129+0.j 0.06936863+0.j 0.04297296+0.j]
 [0.03439777+0.j 0.06794107+0.j 0.0594589 +0.j]]","[[ 0.22269166+0.j -0.01524859+0.j  0.14214692+0.j]
 [-0.01524859-0.j -0.01535324+0.j -0.05001943+0.j]
 [ 0.14214692-0.j -0.05001943-0.j  0.13873727+0.j]]"
25,CENTRO34,2019/03/25,parcela 33_34,ÃIRE,200,9.2,38.0,199.0,199.0,205.965,,0.1592,0.0442,0.0572,0.0833,-0.0032,0.115,0.0297,-0.0681,0.1386,22.63,0.006,0.0117,0.0024,0.012,0.0044,0.0096,0.004,0.0113,0.0369,0.6847,22.63,22.15,27.57,3,0.13212687199278902,0.036683465716590924,0.04747272033911766,0.06913422385049828,-0.0026558165224681214,0.0954434062761981,0.02464929709915725,-0.0565190953687747,0.11503005312940048,-8.790088464933795,-10.202540695414179,-9.391886796192418,"[[0.07387017+0.j 0.08037147+0.j 0.0463827 +0.j]
 [0.05991567+0.j 0.0671719 +0.j 0.07618755+0.j]
 [0.07325348+0.j 0.03813359+0.j 0.04967042+0.j]]","[[0.21630598+0.j 0.02419976+0.j 0.16759148+0.j]
 [0.02419976-0.j 0.0307752 +0.j 0.05973338+0.j]
 [0.16759148-0.j 0.05973338-0.j 0.1343438 +0.j]]"
26,CENTRO35,2019/03/29,parcela 35_36,ÃIRE,200,6.2,9.0,33.0,33.0,34.155,,0.0999,0.0103,0.0185,0.0526,-0.0197,0.0972,0.0142,-0.0271,0.1488,28.97,0.0036,0.0031,0.0054,0.0047,0.0098,0.0094,0.0018,0.0034,0.0085,0.5485,28.97,28.96,27.56,3,0.08747304122452604,0.009018741988114297,0.01619871133787519,0.046056876560661354,-0.01724943855979142,0.0851089049752145,0.012433605459342039,-0.023728923094941498,0.13029017551761232,-10.58125773851106,-10.700249971508136,-8.850883308672284,"[[0.05260715+0.j 0.07976849+0.j 0.05086568+0.j]
 [0.05419624+0.j 0.0763857 +0.j 0.07666629+0.j]
 [0.0478618 +0.j 0.09544341+0.j 0.0851089 +0.j]]","[[ 0.23944741+0.j -0.03250176+0.j  0.24778704+0.j]
 [-0.03250176-0.j  0.0359847 +0.j -0.02216768+0.j]
 [ 0.24778704-0.j -0.02216768-0.j  0.15277141+0.j]]"
27,CENTRO36,2019/03/29,parcela 35_36,ÃIRE,200,8.9,34.0,168.0,168.0,173.88,,0.1021,0.0093,-0.0038,0.044,-0.0107,0.053,-0.0052,-0.0032,0.0933,30.82,0.0048,0.005,0.0024,0.0034,0.02,0.0064,0.0033,0.0032,0.0216,0.1307,30.82,30.71,27.56,3,0.09107459039404248,0.008295726647057737,-0.003389651748260151,0.0392485991903807,-0.009544545712206214,0.04727672175204947,-0.004638470813408627,-0.0028544435774822325,0.08322487055596632,-10.406027733114884,-13.253526457976097,-10.79746871651899,"[[0.04727672+0.j 0.05577092+0.j 0.0508194 +0.j]
 [0.04629027+0.j 0.05278409+0.j 0.04058028+0.j]
 [0.03917388+0.j 0.02677371+0.j 0.06335418+0.j]]","[[ 0.21226971+0.j -0.01607746+0.j  0.11673573+0.j]
 [-0.01607746-0.j  0.00899209+0.j  0.04100826+0.j]
 [ 0.11673573-0.j  0.04100826-0.j  0.10556818+0.j]]"
28,CENTRO37,2019/04/04,parcela 37_38,ÃIRE,200,3.3,3.0,9.0,9.0,9.315,,0.1389,-0.0071,0.0071,0.0527,0.0186,0.068,0.006,0.0137,0.1205,20.93,0.0222,0.0118,0.0028,0.0105,0.0166,0.0099,0.0057,0.0026,0.0041,0.8082,20.93,17.35,27.57,4,0.11392031355205658,-0.00582314057753493,0.00582314057753493,0.04322246597691419,0.015254987991852067,0.055770923841179605,0.0049209638683393765,0.011236200832708244,0.09882935768914915,-9.43398828361884,-12.535921613932633,-10.051140271886123,"[[0.06244013+0.j 0.04859755+0.j 0.03876166+0.j]
 [0.04801123+0.j 0.0336927 +0.j 0.06319228+0.j]
 [0.06034801+0.j 0.06921924+0.j 0.07959738+0.j]]","[[ 0.21956083+0.j -0.01715725+0.j  0.16661811+0.j]
 [-0.01715725-0.j  0.06451418+0.j -0.02916347+0.j]
 [ 0.16661811-0.j -0.02916347-0.j  0.0673854 +0.j]]"
29,CENTRO38,2019/04/04,parcela 37_38,ÃIRE,200,4.1,12.0,33.0,33.0,34.155,,0.1054,-0.0092,-0.0072,0.0486,0.012,0.0618,0.007,0.0244,0.1135,21.32,0.0123,0.0024,0.0159,0.0183,0.0025,0.0089,0.0054,0.0038,0.0116,1.4896,21.32,14.42,27.57,4,0.08667257648739533,-0.0075653482322963666,-0.005920707312231939,0.03996477435756559,0.009867845520386566,0.05081940442999081,0.005756243220225496,0.02006461922478602,0.09333337221365626,-10.621182931139192,-12.939704289016312,-10.299630424613056,"[[0.05638053+0.j 0.04495015+0.j 0.02573338+0.j]
 [0.04528254+0.j 0.03335758+0.j 0.07850421+0.j]
 [0.0809513 +0.j 0.04235023+0.j 0.05762798+0.j]]","[[ 0.16547526+0.j -0.00124745+0.j  0.12346138+0.j]
 [-0.00124745-0.j  0.06254176+0.j  0.00367684+0.j]
 [ 0.12346138-0.j  0.00367684-0.j  0.06671517+0.j]]"
30,CENTRO3,2018/10/24,parcela 3_4,ÃIRE,200,12.0,12.0,328.0,330.0,341.55,RALEO,0.0943,0.0092,-0.0164,0.0196,0.015,0.0546,-0.0305,-0.0093,0.1012,25.37,0.0047,0.0063,0.0019,0.0052,0.0056,0.0089,0.0046,0.0041,0.007,0.2156,25.37,25.21,27.44,4,0.07994821623214864,0.0077998259738681595,-0.01390403760559107,0.01661702055302347,0.01271710756608939,0.04629027154056539,-0.025858118717715095,-0.007884606690975422,0.08579808571254975,-10.971912215885025,-13.345102716210935,-10.665224018220504,"[[-0.00250095+0.00129081j  0.00203575-0.00644654j -0.01438545+0.00693584j]
 [ 0.0022389 -0.00049753j -0.0014871 -0.01968215j -0.00635109-0.00791824j]
 [ 0.0023453 -0.00117265j  0.01197199-0.0062853j   0.00795041-0.00710462j]]","[[-0.02332143-0.00581381j -0.01045136-0.00547625j  0.01980994-0.01800554j]
 [-0.01045136+0.00547625j  0.03422035-0.00581381j -0.01405197-0.00022803j]
 [ 0.01980994+0.01800554j -0.01405197+0.00022803j -0.00297419-0.03936429j]]"
31,CENTRO4,2018/10/24,parcela 3_4,ÃIRE,200,9.9,36.0,194.0,221.0,228.735,TESTIGO,0.1321,0.0296,0.0211,0.0099,-0.0036,0.0628,-0.0094,0.0076,0.0859,24.3,0.0125,0.0029,0.005,0.0064,0.0091,0.0118,0.0052,0.0044,0.0064,0.9867,24.3,24.26,27.44,3,0.11103149783440383,0.024879124420123796,0.0177347812589396,0.008321058505379243,-0.003025839456501542,0.052784088296749125,-0.007900803025309584,0.006387883297058812,0.07219989147596736,-9.545538014368814,-12.774969753142125,-11.414634552201663,"[[ 0.01646064-0.00810869j -0.02702278+0.00309717j -0.01470275-0.00852922j]
 [-0.01161711+0.0142429j  -0.01054835+0.0096201j  -0.0177938 -0.00375925j]
 [ 0.01329629-0.00206464j  0.01248319-0.00983265j  0.00822303-0.0148679j ]]","[[-0.00472182-0.02297659j  0.00823761+0.02381764j -0.02056208-0.00952542j]
 [ 0.00823761-0.02381764j  0.05408916-0.02297659j -0.05586988+0.01828553j]
 [-0.02056208+0.00952542j -0.05586988-0.01828553j -0.0210967 +0.01924019j]]"
32,CENTRO41,2019/04/11,parcela 41_42,ÃIRE,200,3.2,6.0,13.0,13.0,13.455,,0.044,0.0001,-0.012,-0.0039,0.0028,0.0421,0.0018,-0.0026,0.0344,37.37,0.007,0.0061,0.0059,0.0013,0.0013,0.0053,0.0029,0.001,0.0099,0.1297,37.37,37.27,27.54,2,0.0424116971473441,9.639022078941841e-05,-0.011566826494730209,-0.0037592186107873174,0.002698926182103715,0.04058028295234515,0.001735023974209531,-0.0025061457405248784,0.03315823595155993,-13.725143484556597,-13.916849291061787,-14.79408582370317,"[[ 0.03152916-0.01115377j  0.01915147+0.01133275j  0.00146067-0.00721743j]
 [-0.00826722+0.02864301j -0.00965598-0.0006035j  -0.0036302 -0.01771882j]
 [-0.01522507-0.00413021j  0.0246493 -0.0565191j   0.01243361-0.02372892j]]","[[ 0.0468841 -0.03488269j  0.01909555+0.02701001j  0.06194363-0.06390315j]
 [ 0.01909555-0.02701001j  0.04104143-0.03488269j -0.00777511+0.095957j  ]
 [ 0.06194363+0.06390315j -0.00777511-0.095957j   -0.01931196-0.001207j  ]]"
33,CENTRO42,2019/04/11,parcela 41_42,ÃIRE,200,1.5,2.0,1.0,1.0,1.035,,0.0621,-0.0017,0.0036,0.0271,0.0004,0.0383,-0.004,0.0043,0.053,41.5,0.0044,0.0045,0.0094,0.0103,0.002,0.0074,0.0052,0.0039,0.0044,1.4517,41.5,41.3,27.54,4,0.06351691908778472,-0.0017387884452372629,0.0036821402369730267,0.027718333450546955,0.00040912669299700304,0.03917388085446304,-0.00409126692997003,0.004398111949717782,0.0542092868221029,-11.971105756883983,-14.070034018963556,-12.659263062641893,"[[-0.00463847-0.00285444j  0.00492096+0.0112362j   0.00575624+0.02006462j]
 [-0.02585812-0.00788461j -0.0079008 +0.00638788j  0.00173502-0.00250615j]
 [-0.00409127+0.00439811j  0.00315486+0.0035812j   0.001116  +0.00489321j]]","[[ 0.00799001+0.00203877j -0.00575447-0.04787689j  0.01142094+0.02095496j]
 [-0.00575447+0.04787689j -0.01503496+0.00203877j  0.00249764+0.01082581j]
 [ 0.01142094-0.02095496j  0.00249764-0.01082581j -0.01580161+0.01277577j]]"
34,CENTRO44,2018/12/05,parcela 43_44,ÃIRE,200,3.6,16.0,41.0,41.0,42.435,,0.0783,0.0123,-0.0027,0.034,0.0045,0.0314,0.0037,0.0042,0.0727,26.05,0.0302,0.0011,0.0063,0.0099,0.0072,0.0109,0.0078,0.0022,0.0161,0.3482,26.05,25.93,27.5,3,0.06676373026753724,0.01048778904585834,-0.0023021975954323182,0.028990636386925492,0.003836995992387197,0.026773705369101775,0.0031548633715183625,0.003581196259561384,0.06198880192145539,-11.754594061247746,-15.722915201095029,-12.0768675732368,"[[ 0.00470612+0.00958032j -0.00783288+0.01187566j  0.00343989-0.00738317j]
 [ 0.01574972-0.02193105j -0.00228569-0.01117446j  0.01438865+0.0108546j ]
 [ 0.00416475-0.00636961j -0.00532456+0.01250848j  0.00826986+0.01326623j]]","[[ 0.01985575+0.02284655j -0.00356374+0.01108043j -0.01860743+0.03448438j]
 [-0.00356374-0.01108043j  0.0060962 +0.02284655j -0.00354731-0.00089495j]
 [-0.01860743-0.03448438j -0.00354731+0.00089495j -0.00457137-0.02234893j]]"
